,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
1,CORAZON DE JESUS,EL ORO,ARENILLAS,ARENILLAS,33,11
5,KLEBER TINOCO PINEDA,EL ORO,ARENILLAS,ARENILLAS,66,9
6,LAS BRISAS,EL ORO,ARENILLAS,ARENILLAS,96,4
8,25 DE DICIEMBRE,EL ORO,ARENILLAS,ARENILLAS,54,3
13,9 DE OCTUBRE,EL ORO,ARENILLAS,ARENILLAS,23,2
15,BATALLON DE INFANTERIA N 38 AMBATO,EL ORO,ARENILLAS,ARENILLAS,21,1
19,ARISTIDES CORDOVA VILLACIS,EL ORO,ARENILLAS,ARENILLAS,41,5
23,NAPOLEON PALADINES CARREÑO,EL ORO,ARENILLAS,ARENILLAS,45,5
24,MAYOR HECTOR ESPINOZA,EL ORO,ARENILLAS,ARENILLAS,47,5
32,SIMON BOLIVAR,EL ORO,ARENILLAS,CHACRAS,46,3
34,MAYOR GALO MOLINA,EL ORO,ARENILLAS,PALMALES,63,4
35,MAYOR  MANUEL ANTONIO ROSERO,EL ORO,ARENILLAS,PALMALES,46,3
36,ZOILA ESPERANZA CRESPO,EL ORO,ARENILLAS,CARCABON,29,4
37,JESUS MARIA YEPEZ,EL ORO,ARENILLAS,CARCABON,48,5
45,RIO ARENILLAS,EL ORO,ARENILLAS,PALMALES,21,3
48,24 DE MAYO,EL ORO,ARENILLAS,PALMALES,24,3
50,ELOY ALFARO,EL ORO,ARENILLAS,ARENILLAS,24,3
58,PRIMERO DE JUNIO,EL ORO,ARENILLAS,ARENILLAS,86,5
59,LAS AMERICAS,EL ORO,ARENILLAS,ARENILLAS,39,2
62,REPUBLICA DE ARGENTINA,EL ORO,ATAHUALPA,PACCHA,31,4
67,CELIA LUCIA PONTON MATAMOROS,EL ORO,ATAHUALPA,AYAPAMBA,24,3
68,DIEZ DE AGOSTO,EL ORO,ATAHUALPA,AYAPAMBA,41,5
76,CARLOS REYES ANDRADE,EL ORO,ATAHUALPA,SAN JOSE,27,4
92,CENTRO  ARTESANAL  NAPO PASTAZA,EL ORO,BALSAS,BALSAS,98,7
100,PROFESOR LEOVIGILDO LOAYZA LOAYZA,EL ORO,BALSAS,BELLAMARIA,27,3
104,DR  EDMUNDO CARBO,EL ORO,CHILLA,CHILLA,27,1
112,LAURO DAVILA ECHEVERRIA,EL ORO,CHILLA,CHILLA,35,2
118,JORGE ICAZA CORONEL,EL ORO,CHILLA,CHILLA,30,4
120,BELISARIO FAJARDO,EL ORO,CHILLA,CHILLA,29,5
128,ANGEL MARIA COJITAMBO MACAS,EL ORO,CHILLA,CHILLA,60,7
130,VICENTE  MAYA,EL ORO,CHILLA,CHILLA,87,2
132,ZORAIDA MORA DE FRANCO,EL ORO,EL GUABO,LA IBERIA,74,5
133,CHARBEL JOSE FADUL SERRANO,EL ORO,EL GUABO,LA IBERIA,99,10
136,JERUSALEN,EL ORO,EL GUABO,EL GUABO,24,1
137,5 DE ABRIL,EL ORO,EL GUABO,EL GUABO,61,5
140,INSTITUTO  7 DE SEPTIEMBRE,EL ORO,EL GUABO,EL GUABO,43,12
142,REPUBLICA DE COSTA RICA,EL ORO,EL GUABO,EL GUABO,25,1
143,LA DOLOROSA,EL ORO,EL GUABO,EL GUABO,59,9
144,VIRGEN MARIA AUXILIADORA,EL ORO,EL GUABO,EL GUABO,26,5
148,LATINOAMERICANO,EL ORO,EL GUABO,EL GUABO,82,9
149,VICTORIA CAÑARTE DE ORELLANA,EL ORO,EL GUABO,EL GUABO,66,7
150,JOSE LUIS MOLESTINA,EL ORO,EL GUABO,EL GUABO,44,5
152,SAN ANTONIO DE PADUA,EL ORO,EL GUABO,EL GUABO,49,7
155,LUCERITO,EL ORO,EL GUABO,EL GUABO,99,8
162,JUAN MONTALVO MEDINA CALDERON,EL ORO,EL GUABO,EL GUABO,81,7
163,MARIA DEL CARMEN,EL ORO,EL GUABO,EL GUABO,96,7
165,GRAL JOSE MARIA CORDOVA,EL ORO,EL GUABO,EL GUABO,79,6
168,ZOILA UGARTE DE LANDIVAR,EL ORO,EL GUABO,EL GUABO,60,2
170,FILOMENA CORREA DE SERRANO,EL ORO,EL GUABO,TENDALES,76,6
171,CENTRO DE EDUCACION POPULAR 10  DE AGOSTO,EL ORO,EL GUABO,TENDALES,23,1
176,ENRIQUE RUILOVA,EL ORO,EL GUABO,BARBONES (SUCRE),24,4
178,ANTONIA PROAÑO DE SANCHEZ,EL ORO,EL GUABO,BARBONES (SUCRE),62,8
182,CARLOS NAPOLEON MERA,EL ORO,EL GUABO,TENDALES,77,2
183,DR. ROMULO CEDILLO ZEA,EL ORO,EL GUABO,BARBONES (SUCRE),37,4
187,JOSE HOMERO SERRANO RAMIREZ,EL ORO,EL GUABO,RIO BONITO,40,4
189,POMPEYO FERNANDEZ MARQUEZ,EL ORO,EL GUABO,RIO BONITO,50,7
190,EL PARAISO,EL ORO,EL GUABO,RIO BONITO,32,3
191,14 DE JULIO,EL ORO,EL GUABO,RIO BONITO,31,3
192,CIUDAD DE MACHALA,EL ORO,EL GUABO,RIO BONITO,81,6
194,TENIENTE GUSTAVO LEDESMA,EL ORO,EL GUABO,RIO BONITO,34,5
205,JOSE MAYON,EL ORO,HUAQUILLAS,ECUADOR,28,1
211,PRIMERO DE OCTUBRE,EL ORO,HUAQUILLAS,UNION LOJANA,28,1
212,ALEJANDRO CAMPOVERDE ANDRADE,EL ORO,HUAQUILLAS,MILTON REYES,36,4
