,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
426,ISABEL LA CATOLICA,EL ORO,MACHALA,MACHALA,552,24
427,MERCEDES CRUZ DE CRUZ,EL ORO,MACHALA,MACHALA,235,10
428,LUZ DE AMERICA,EL ORO,MACHALA,MACHALA,474,20
429,BOLIVIA BENITEZ,EL ORO,MACHALA,MACHALA,515,23
430,CONSERVATORIO NACIONAL DE MUSICA MACHALA,EL ORO,MACHALA,MACHALA,0,25
431,SULIMA GARCIA VALAREZO,EL ORO,MACHALA,MACHALA,903,31
432,BOLIVAR MADERO VARGAS,EL ORO,MACHALA,MACHALA,364,17
433,DAVID RODAS CUERVO,EL ORO,MACHALA,MACHALA,413,20
434,LUIS AMANDO UGARTE LEMUS,EL ORO,MACHALA,LA PROVIDENCIA,814,29
435,LA PROVIDENCIA,EL ORO,MACHALA,LA PROVIDENCIA,528,21
436,JOSE VICENTE PEÑAFIEL ESCALANTE,EL ORO,MACHALA,LA PROVIDENCIA,40,3
437,MARTHA BUCARAM DE ROLDOS,EL ORO,MACHALA,LA PROVIDENCIA,215,10
438,JUAN HENRIQUEZ COELLO,EL ORO,MACHALA,MACHALA,778,36
439,LAS ÁGUILAS DEL SABER,EL ORO,MACHALA,EL CAMBIO,25,5
440,9 DE MAYO,EL ORO,MACHALA,EL RETIRO,323,21
441,MANUEL MINUCHE TORRES,EL ORO,MACHALA,EL RETIRO,208,13
442,OLINDA GALVEZ DE ARMIJOS,EL ORO,MACHALA,EL RETIRO,43,3
443,MIGUEL ANGEL PINEDA COBOS,EL ORO,MACHALA,EL RETIRO,37,3
444,LUCIANA CASTRO DE CUCALON,EL ORO,MACHALA,EL RETIRO,65,6
445,DELFINA ECHEVERRIA DE JARA,EL ORO,MACHALA,EL RETIRO,100,10
446,10 DE AGOSTO,EL ORO,MACHALA,EL RETIRO,73,5
447,RAFAEL GONZÁLEZ RUBIO,EL ORO,MACHALA,EL CAMBIO,224,13
448,NUEVO AMANECER,EL ORO,MACHALA,EL CAMBIO,109,13
449,ELOY ALFARO,EL ORO,MACHALA,EL CAMBIO,74,5
450,SONRISITAS,EL ORO,MACHALA,EL CAMBIO,9,2
451,23 DE ABRIL,EL ORO,MACHALA,EL CAMBIO,312,17
452,REMIGEO GEO GOMEZ GUERRERO,EL ORO,MACHALA,EL CAMBIO,64,5
453,GENERAL ELOY ALFARO,EL ORO,MACHALA,EL CAMBIO,290,13
455,25 DE JUNIO,EL ORO,MACHALA,EL CAMBIO,49,4
456,ENRIQUE AUGUSTO CASTRO AGUILAR,EL ORO,MACHALA,EL CAMBIO,799,34
457,KLEBER FRANCO CRUZ,EL ORO,MACHALA,EL CAMBIO,80,6
458,ALEJANDRO CASTRO BENITEZ,EL ORO,MACHALA,EL CAMBIO,409,24
461,UNION NACIONAL DE EDUCADORES  UNE,EL ORO,MACHALA,LA PROVIDENCIA,424,24
462,ANDRES  CEDILLO PRIETO,EL ORO,MACHALA,LA PROVIDENCIA,331,12
463,AMADA AGURTO DE GALARZA,EL ORO,MACHALA,LA PROVIDENCIA,253,12
464,RED EDUCATIVA MA1  ROTARY CLUB MACHALA MODERNO,EL ORO,MACHALA,LA PROVIDENCIA,672,28
465,HEROES DE PAQUISHA,EL ORO,MACHALA,LA PROVIDENCIA,627,20
469,VIRGEN DE AMERICA,EL ORO,MACHALA,MACHALA,160,7
471,HEROES DEL CENEPA,EL ORO,MACHALA,PUERTO BOLIVAR,117,7
472,MANUEL ENCALADA JULIO MATOVELLE,EL ORO,MACHALA,PUERTO BOLIVAR,586,25
473,LUZ DE CRISTO,EL ORO,MACHALA,PUERTO BOLIVAR,85,8
474,MONSEÑOR LEONIDAS PROAÑO VILLALVA,EL ORO,MACHALA,PUERTO BOLIVAR,33,6
475,JUAN BAUTISTA AGUIRRE,EL ORO,MACHALA,PUERTO BOLIVAR,167,9
476,PUERTO BOLIVAR,EL ORO,MACHALA,PUERTO BOLIVAR,94,10
477,VIRGEN DE FATIMA,EL ORO,MACHALA,PUERTO BOLIVAR,379,17
478,MI SENDERO,EL ORO,MACHALA,PUERTO BOLIVAR,137,17
479,ESPIRITU SANTO,EL ORO,MACHALA,PUERTO BOLIVAR,194,13
480,VIRGEN DEL CISNE,EL ORO,MACHALA,PUERTO BOLIVAR,307,18
482,MARINERITO,EL ORO,MACHALA,PUERTO BOLIVAR,68,7
483,DIVINO NIÑO,EL ORO,MACHALA,PUERTO BOLIVAR,101,9
484,JESUCRISTO ES EL REY,EL ORO,MACHALA,PUERTO BOLIVAR,61,9
485,SIETE DE MAYO,EL ORO,MACHALA,MACHALA,301,20
488,UNION NACIONAL DE EDUCADORES,EL ORO,MACHALA,MACHALA,904,31
489,OLIMPIA CARDENAS DE ROSALES,EL ORO,MACHALA,MACHALA,85,3
490,MAURO MATAMOROS MEZA,EL ORO,MACHALA,PUERTO BOLIVAR,229,12
491,MANUEL ISAAC ENCALADA MORA,EL ORO,MACHALA,PUERTO BOLIVAR,290,12
492,CARLOTA RODAS CUERVO DE DAVALOS,EL ORO,MACHALA,PUERTO BOLIVAR,232,11
493,SARA SERRANO DE MARIDUEÑA,EL ORO,MACHALA,PUERTO BOLIVAR,706,23
494,DORALINA RIVERA NAVARRO,EL ORO,MACHALA,PUERTO BOLIVAR,227,9
495,24 DE JULIO,EL ORO,MACHALA,PUERTO BOLIVAR,415,23
496,EUGENIO ESPEJO,EL ORO,MACHALA,PUERTO BOLIVAR,820,33
497,DANIEL CORDOVA TORAL,EL ORO,MACHALA,PUERTO BOLIVAR,506,17
498,HECTOR ENCALADA SANCHEZ,EL ORO,MACHALA,PUERTO BOLIVAR,485,20
500,CENTRO  DE  REHABILITACIÓN,EL ORO,MACHALA,MACHALA,67,11
503,MOSARC,EL ORO,MACHALA,NUEVE DE MAYO,7,3
506,CARLOS MORAN ZAMBRANO,EL ORO,MARCABELI,MARCABELI,26,4
508,SIMON BOLIVAR,EL ORO,MARCABELI,MARCABELI,34,2
509,LA INMACULADA,EL ORO,MARCABELI,MARCABELI,51,7
511,FEBRES CORDERO,EL ORO,MARCABELI,MARCABELI,378,22
512,LUIS ENRIQUE CORDOVA,EL ORO,MARCABELI,MARCABELI,322,17
514,CIUDAD DE MARCABELI,EL ORO,MARCABELI,MARCABELI,81,8
515,DR JORGE ZAVALA BAQUERIZO,EL ORO,MARCABELI,EL INGENIO,5,2
516,30 DE SEPTIEMBRE,EL ORO,MARCABELI,MARCABELI,26,3
517,FRANCISCO CARRION ROMERO,EL ORO,MARCABELI,EL INGENIO,19,3
519,ING ANDRES CORSINO GARCIA,EL ORO,PASAJE,PROGRESO,31,3
521,EL PROGRESO,EL ORO,PASAJE,PROGRESO,65,7
522,LUIS POVEDA ORELLANA,EL ORO,PASAJE,PROGRESO,191,10
525,OLIVA CARDENAS BATALLAS DE SÁNCHEZ,EL ORO,PASAJE,PROGRESO,41,7
527,NICOLAS SALDAÑA CARPIO,EL ORO,PASAJE,PROGRESO,23,3
528,GENERAL CALICUCHIMA,EL ORO,PASAJE,PROGRESO,63,7
529,DR ALFREDO VERA,EL ORO,PASAJE,PROGRESO,49,6
530,PROVINCIA DE EL ORO,EL ORO,PASAJE,PROGRESO,18,2
533,REPUBLICA DE BRASIL,EL ORO,PASAJE,CAÑAQUEMADA,148,11
534,BOLIVAR MADERO VARGAS,EL ORO,PASAJE,CAÑAQUEMADA,14,2
535,DELFIN AMAYA ENCALADA,EL ORO,PASAJE,CAÑAQUEMADA,19,2
541,EL PROGRESO,EL ORO,PASAJE,PROGRESO,163,12
542,TEMISTOCLES ROMERO LUCIN,EL ORO,PASAJE,CAÑAQUEMADA,46,8
543,AURELIO PRIETO MUELA,EL ORO,PASAJE,BUENAVISTA,309,14
544,FELIPE ISIDORO BARRIGA LARREA,EL ORO,PASAJE,BUENAVISTA,17,2
546,OLIVA CARDENAS DE SANCHEZ,EL ORO,PASAJE,LA PEAÑA,107,11
547,ABEL UGARTE MUELAS,EL ORO,PASAJE,LA PEAÑA,216,9
548,AURELIO PRIETO MUELAS,EL ORO,PASAJE,BOLIVAR,301,21
552,JORGE ICAZA,EL ORO,PASAJE,BUENAVISTA,275,22
553,MANUEL ISAAC ENCALADA ZUÑIGA,EL ORO,PASAJE,BUENAVISTA,619,21
554,FLAVIO AGUILAR HERNANDEZ,EL ORO,PASAJE,BUENAVISTA,144,9
555,REPUBLICA DE PANAMA,EL ORO,PASAJE,LA PEAÑA,233,11
556,AMELIA TOBAR SUBIAGA,EL ORO,PASAJE,BOLIVAR,370,17
557,MANUEL  A  GONZALEZ,EL ORO,PASAJE,BOLIVAR,573,28
558,JOHN  KENNEDY,EL ORO,PASAJE,BOLIVAR,358,20
559,ALBERTO SERRANO ZAMBRANO,EL ORO,PASAJE,BOLIVAR,88,9
560,RODRIGO UGARTE CORDOVA,EL ORO,PASAJE,BOLIVAR,330,22
561,21 DE JUNIO,EL ORO,PASAJE,BOLIVAR,94,10
562,ANGEL BALDOMERO NAGUA,EL ORO,PASAJE,BOLIVAR,221,21
563,MARISCAL SUCRE,EL ORO,PASAJE,OCHOA LEON (MATRIZ),121,13
564,ESILDA UGARTE DE MUÑOZ,EL ORO,PASAJE,OCHOA LEON (MATRIZ),111,7
565,INGENIERO  JOSE CORSINO CARDENAS,EL ORO,PASAJE,OCHOA LEON (MATRIZ),765,46
566,ABDON CALDERON GARAICOA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),588,25
567,SANTISIMOS CORAZONES,EL ORO,PASAJE,OCHOA LEON (MATRIZ),414,19
568,PANAMERICANO,EL ORO,PASAJE,OCHOA LEON (MATRIZ),90,14
569,JUAN XXIII,EL ORO,PASAJE,OCHOA LEON (MATRIZ),310,26
570,PASAJE,EL ORO,PASAJE,OCHOA LEON (MATRIZ),960,49
571,NUEVO MILENIO,EL ORO,PASAJE,BOLIVAR,113,12
572,23 DE ABRIL,EL ORO,PASAJE,TRES CERRITOS,157,11
573,EVA ESPERANZA BATALLAS DE FALQUEZ,EL ORO,PASAJE,TRES CERRITOS,551,32
574,COLEGIO  POPULAR  PASAJE,EL ORO,PASAJE,TRES CERRITOS,232,16
576,JUBONES,EL ORO,PASAJE,OCHOA LEON (MATRIZ),107,18
577,JUAN CAMACHO,EL ORO,PASAJE,OCHOA LEON (MATRIZ),148,13
579,LUIS ANGEL LEON ROMAN,EL ORO,PASAJE,BOLIVAR,201,11
580,TERESA URDIALES DE PAVON,EL ORO,PASAJE,TRES CERRITOS,39,2
581,ORDONEZ AVILA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),87,6
583,ZULIMA VACA RIVERA,EL ORO,PASAJE,BOLIVAR,664,28
584,MANUELA CAÑIZARES,EL ORO,PASAJE,OCHOA LEON (MATRIZ),256,9
585,MANUELA CAÑIZARES,EL ORO,PASAJE,BOLIVAR,904,32
587,PRIMERO DE NOVIEMBRE,EL ORO,PASAJE,BOLIVAR,379,21
589,CHIQUILLADAS,EL ORO,PASAJE,BOLIVAR,69,15
590,JUAN PABLO II,EL ORO,PASAJE,LOMA DE FRANCO,223,18
591,GABRIELA MISTRAL,EL ORO,PASAJE,LOMA DE FRANCO,10,2
592,EUGENIO GARCIA GARCIA,EL ORO,PASAJE,LOMA DE FRANCO,54,5
593,RUMIÑAHUI,EL ORO,PASAJE,LOMA DE FRANCO,369,18
594,ROGERIO ZAMORA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),586,25
595,VICENTE ROCAFUERTE,EL ORO,PASAJE,OCHOA LEON (MATRIZ),885,30
596,CIUDAD DE PASAJE,EL ORO,PASAJE,OCHOA LEON (MATRIZ),416,20
597,FRANCISCO OCHOA ORTIZ,EL ORO,PASAJE,OCHOA LEON (MATRIZ),16,4
598,ALEJANDRO CAMPOVERDE ANDRADE,EL ORO,PASAJE,OCHOA LEON (MATRIZ),336,19
599,ALBORADA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),109,10
600,JOSE MARIA VELAZ  EXT21,EL ORO,PASAJE,OCHOA LEON (MATRIZ),232,9
601,LICEO PARTICULA ISRAEL,EL ORO,PASAJE,OCHOA LEON (MATRIZ),74,10
602,CAPITAN JUAN SALINAS,EL ORO,PASAJE,TRES CERRITOS,204,11
603,JUAN MONTALVO,EL ORO,PASAJE,BOLIVAR,458,21
607,CHARLENE,EL ORO,PASAJE,BOLIVAR,123,4
619,EDUARDO PAZMIÑO BARCIONA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),430,24
621,FRANCISCO OCHOA ORTIZ,EL ORO,PASAJE,CASACAY,130,9
622,GENERAL LUIS LARREA  ALBA,EL ORO,PASAJE,CASACAY,26,3
623,DAVID MONROY,EL ORO,PASAJE,CASACAY,15,2
624,LEOPOLDO MUÑOZ RODRIGUEZ,EL ORO,PASAJE,CASACAY,44,5
625,DR LEONIDAS GARCIA ORTIZ,EL ORO,PASAJE,CASACAY,318,17
629,WALTER TEOFILO SERRANO BATALLAS,EL ORO,PASAJE,UZHCURRUMI,145,11
630,RAFAEL SALDAÑA MENDOZA,EL ORO,PASAJE,PROGRESO,58,5
631,CIRO VICENTE VERA,EL ORO,PASAJE,PROGRESO,30,4
632,MIGUEL ALFONSO CARMONA BENENAULA,EL ORO,PASAJE,PROGRESO,44,4
633,ENRIQUE COELLO LECARO,EL ORO,PASAJE,UZHCURRUMI,97,10
634,VICENTE  MAYA,EL ORO,PASAJE,OCHOA LEON (MATRIZ),317,12
636,JUAN JACOBO ROUSSEAU,EL ORO,PIÑAS,MOROMORO,92,9
638,REPUBLICA DE NICARAGUA,EL ORO,PIÑAS,MOROMORO,17,3
640,MOROMORO,EL ORO,PIÑAS,MOROMORO,61,11
641,PEDRO FERMIN CEVALLOS,EL ORO,PIÑAS,MOROMORO,36,5
648,LUIS CORDERO CRESPO,EL ORO,PIÑAS,PIÑAS GRANDE,47,4
650,CRISTOBAL COLON,EL ORO,PIÑAS,LA MATRIZ,507,22
652,PIÑAS,EL ORO,PIÑAS,LA MATRIZ,135,8
653,JOSE MARIA VELAZ SJ EXT 092,EL ORO,PIÑAS,LA MATRIZ,137,8
655,TERESA MOLINA DE MUÑOZ,EL ORO,PIÑAS,LA MATRIZ,236,11
656,SAN JOSE,EL ORO,PIÑAS,LA MATRIZ,372,21
659,MARIA DEL CISNE,EL ORO,PIÑAS,LA MATRIZ,355,10
662,MANUEL SIGIBERTO LOAYZA GALLARDO,EL ORO,PIÑAS,LA SUSAYA,73,6
663,EDUCACION ESPECIAL  SOR EUFEMIA MOSCOSO ZAMBRANO,EL ORO,PIÑAS,LA MATRIZ,76,4
664,SAGRADO CORAZON,EL ORO,PIÑAS,LA MATRIZ,470,20
665,DR  GONZALO ABAD GRIJALVA,EL ORO,PIÑAS,LA MATRIZ,340,19
666,FEDERICO GONZALEZ SUAREZ,EL ORO,PIÑAS,LA MATRIZ,722,26
667,MELVA OCHOA DE PROAÑO,EL ORO,PIÑAS,LA MATRIZ,96,4
669,GENERAL CALICUCHIMA,EL ORO,PIÑAS,LA MATRIZ,33,2
670,13 DE ABRIL,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),21,2
672,DR GUILLERMO GUZMAN AYORA,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),26,4
678,OCHO  DE NOVIEMBRE,EL ORO,PIÑAS,PIEDRAS,32,2
680,VICTOR MANUEL LOAYZA,EL ORO,PIÑAS,LA BOCANA,14,2
681,PAQUISHA,EL ORO,PIÑAS,LA BOCANA,208,18
682,MIGUEL MORENO ORDOÑEZ,EL ORO,PIÑAS,LA BOCANA,130,8
684,GENERAL ELOY ALFARO,EL ORO,PIÑAS,LA BOCANA,41,3
685,JOSE UGARTE MOLINA,EL ORO,PIÑAS,LA BOCANA,15,2
687,REPUBLICA DE COLOMBIA,EL ORO,PIÑAS,PIEDRAS,44,4
688,SIMON BOLIVAR,EL ORO,PIÑAS,SARACAY,17,2
692,MIGUEL CABRERA DELGADO,EL ORO,PIÑAS,SARACAY,33,2
693,AERO TECNICO DE LA  FAE,EL ORO,PIÑAS,SARACAY,23,2
694,JUAN JOSE LOAYZA,EL ORO,PIÑAS,SARACAY,260,21
699,ANGEL SALVADOR OCHOA,EL ORO,PIÑAS,CAPIRO,40,4
701,JUAN MONTALVO,EL ORO,PIÑAS,CAPIRO,31,2
702,SEBASTIAN DE BENALCAZAR,EL ORO,PIÑAS,CAPIRO,61,5
704,CIUDAD  DE CUENCA NUMERO 121,EL ORO,PIÑAS,CAPIRO,31,3
706,GALO PLAZA LASSO,EL ORO,PIÑAS,CAPIRO,125,12
709,LENIN MORENO,EL ORO,PORTOVELO,PORTOVELO,88,6
710,MARGARITA COMAS,EL ORO,PORTOVELO,PORTOVELO,25,4
711,24 DE MAYO,EL ORO,PORTOVELO,PORTOVELO,118,11
712,RIO AMARILLO,EL ORO,PORTOVELO,PORTOVELO,534,24
713,CENTRO DE FORMACION ARTESANAL FEDERICO FROEBEL,EL ORO,PORTOVELO,PORTOVELO,25,7
714,FEDERICO FROEBEL,EL ORO,PORTOVELO,PORTOVELO,531,26
715,CIUDAD DE PORTOVELO,EL ORO,PORTOVELO,PORTOVELO,177,15
716,JOHN DEWEY,EL ORO,PORTOVELO,PORTOVELO,354,21
717,CENTRO DE FORMACION ARTESANAL PORTOVELO,EL ORO,PORTOVELO,PORTOVELO,91,6
718,CURTINCAPAC,EL ORO,PORTOVELO,CURTINCAPA,75,13
719,SANTIAGO ZAMORA,EL ORO,PORTOVELO,CURTINCAPA,45,5
720,CIUDAD DE ZARUMA  N  2,EL ORO,PORTOVELO,CURTINCAPA,13,2
721,DR GABRIELGARCIA MORENO,EL ORO,PORTOVELO,MORALES,56,7
724,27 DE ABRIL,EL ORO,PORTOVELO,SALATI,32,3
726,LEOPOLDO NICOLAS CHAVEZ,EL ORO,PORTOVELO,SALATI,75,4
728,MIGUEL ANGEL CORRAL,EL ORO,PORTOVELO,SALATI,90,11
731,SAN JOSE,EL ORO,SANTA ROSA,BELLAVISTA,80,10
733,MANUELITA SAENZ,EL ORO,SANTA ROSA,LA AVANZADA,20,2
734,ROSARIO CELINA GARCIA PINEDA,EL ORO,SANTA ROSA,LA AVANZADA,12,2
737,PROF JESUS MARIA FLORES DE PIEDRA,EL ORO,SANTA ROSA,BELLAVISTA,30,3
738,LCDO. FAUSTO MOLINA MOLINA,EL ORO,SANTA ROSA,TORATA,227,17
739,RABINDRANATH TAGORE,EL ORO,SANTA ROSA,BELLAVISTA,143,11
740,NUMA POMPILIO LLONA,EL ORO,SANTA ROSA,BELLAVISTA,20,4
741,ORIENTE ECUATORIANO,EL ORO,SANTA ROSA,BELLAVISTA,191,12
742,JOSE  JOAQUIN TOLEDO CHICA,EL ORO,SANTA ROSA,BELLAVISTA,41,5
743,JOSE ANTONIO JARA,EL ORO,SANTA ROSA,LA AVANZADA,146,15
744,13 DE ABRIL,EL ORO,SANTA ROSA,LA AVANZADA,255,15
745,RIO CENEPA,EL ORO,SANTA ROSA,SAN ANTONIO,104,9
746,CARLOS ZAMBRANO OREJUELA,EL ORO,SANTA ROSA,SAN ANTONIO,194,14
747,VEINTE Y SIETE DE FEBRERO,EL ORO,SANTA ROSA,TORATA,15,3
748,DR MODESTO CHAVEZ FRANCO,EL ORO,SANTA ROSA,TORATA,225,13
749,3 DE NOVIEMBRE,EL ORO,SANTA ROSA,TORATA,30,2
750,EMILIANO VALVERDE,EL ORO,SANTA ROSA,TORATA,30,3
751,DR NAPOLEON MERA,EL ORO,SANTA ROSA,BELLAVISTA,101,10
753,PROVINCIA DE EL ORO,EL ORO,SANTA ROSA,BELLAMARIA,29,3
754,GENERAL ELOY ALFARO,EL ORO,SANTA ROSA,BELLAMARIA,62,5
756,TERESA ARCAYA GERMAN,EL ORO,SANTA ROSA,BELLAMARIA,29,4
757,TARQUI Nº 7,EL ORO,SANTA ROSA,BELLAMARIA,156,11
758,SIMON BOLIVAR,EL ORO,SANTA ROSA,BELLAMARIA,21,2
759,PROF. NELLY AGUIRRE CARDENAS,EL ORO,SANTA ROSA,BELLAMARIA,271,17
761,LUIS REINALDO PAREDES ZAMBRANO,EL ORO,SANTA ROSA,VICTORIA,59,4
763,HECTOR TORO VALAREZO,EL ORO,SANTA ROSA,VICTORIA,93,11
766,ROSA DE LUXEMBURGO,EL ORO,SANTA ROSA,VICTORIA,213,13
767,JUAN MONTALVO,EL ORO,SANTA ROSA,VICTORIA,196,14
770,WALTER LAINEZ MARTINES,EL ORO,SANTA ROSA,SANTA ROSA,56,4
771,MY SCHOOL,EL ORO,SANTA ROSA,SANTA ROSA,61,6
772,ATAHUALPA,EL ORO,SANTA ROSA,SANTA ROSA,102,9
773,HISPANOAMERICANO,EL ORO,SANTA ROSA,SANTA ROSA,161,11
774,ANTONIO JOSE DE SUCRE,EL ORO,SANTA ROSA,SANTA ROSA,264,18
775,PROF FABIAN ESPINOZA,EL ORO,SANTA ROSA,SANTA ROSA,173,11
776,ABDON CALDERON MUÑOZ,EL ORO,SANTA ROSA,SANTA ROSA,375,18
777,POR UN MUNDO MEJOR,EL ORO,SANTA ROSA,SANTA ROSA,7,3
778,MUNDO DE LA FANTASIA,EL ORO,SANTA ROSA,SANTA ROSA,43,8
779,DR  ALFREDO PEREZ GUERRERO,EL ORO,SANTA ROSA,SANTA ROSA,801,39
780,REPUBLICA DEL ECUADOR  ESPRE,EL ORO,SANTA ROSA,SANTA ROSA,43,6
781,DAVID DE JESUS TORRES APOLO,EL ORO,SANTA ROSA,SANTA ROSA,41,4
782,SIMON BOLIVAR,EL ORO,SANTA ROSA,SANTA ROSA,235,15
783,GAUDENCIO VITE ORTEGA,EL ORO,SANTA ROSA,SANTA ROSA,240,10
785,JORGE  ENRIQUE  CHAVEZ  CELI,EL ORO,SANTA ROSA,SANTA ROSA,234,18
789,JOSE MARIA VELAZ S. J. EXT 20,EL ORO,SANTA ROSA,SANTA ROSA,191,9
790,MANUEL UTRERAS GOMEZ,EL ORO,SANTA ROSA,SANTA ROSA,464,24
791,JULIO LORENZO BETANCOURT CAILLAGUA,EL ORO,SANTA ROSA,SANTA ROSA,150,13
794,ROSA ARCAYA GERMAN,EL ORO,SANTA ROSA,SANTA ROSA,30,3
795,PADRE EMILIO CATALAN BONO,EL ORO,SANTA ROSA,SANTA ROSA,35,5
796,JOSE MARIA OLLAGUE PAREDES,EL ORO,SANTA ROSA,SANTA ROSA,220,14
797,ROSA ORDOÑEZ PORRAS,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,134,9
798,JACINTO GRANDA PAREDES,EL ORO,SANTA ROSA,SANTA ROSA,119,12
799,JOSE MARIA VELASCO IBARRA,EL ORO,SANTA ROSA,SANTA ROSA,24,2
800,PROVINCIA DE IMBABURA,EL ORO,SANTA ROSA,SANTA ROSA,655,29
801,CIUDAD DE SANTA ROSA,EL ORO,SANTA ROSA,SANTA ROSA,403,20
802,DEMETRIO AGUILERA MALTA,EL ORO,SANTA ROSA,SANTA ROSA,753,38
803,CEPWOL   ALTAMIRA,EL ORO,SANTA ROSA,SANTA ROSA,289,22
804,WALTER CORDOVA  ARAUZ,EL ORO,SANTA ROSA,SANTA ROSA,53,7
806,ANTONIO JOSE DE SUCRE,EL ORO,SANTA ROSA,SANTA ROSA,586,25
807,INSTITUTO PARTICULAR AUSTRAL,EL ORO,SANTA ROSA,SANTA ROSA,139,7
808,DR. EUGENIO ESPEJO,EL ORO,SANTA ROSA,SANTA ROSA,516,25
809,GENERAL ALCIDES PESANTES VILLACIS,EL ORO,SANTA ROSA,SANTA ROSA,448,22
810,LASTENIA PESANTES DE NIETO,EL ORO,SANTA ROSA,SANTA ROSA,130,10
812,MANUEL BENJAMIN PESANTEZ VALAREZO,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,68,10
813,HERMINIA GRUNAUER DE LOAYZA,EL ORO,SANTA ROSA,SANTA ROSA,291,16
814,AMADA SEGARRA ORELLANA,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,179,11
815,CARLOS TAPIA ORDOÑEZ,EL ORO,SANTA ROSA,SANTA ROSA,17,3
816,CRUZ GARCIA CAJAMARCA,EL ORO,SANTA ROSA,SANTA ROSA,221,10
817,PATRICIA CHERREZ  DE PESANTES,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,307,19
818,FÉLIX VEGA DÁVILA,EL ORO,SANTA ROSA,SANTA ROSA,463,25
819,15 DE OCTUBRE,EL ORO,SANTA ROSA,SANTA ROSA,60,2
820,ALEJANDRO AGUILAR LOSANO,EL ORO,SANTA ROSA,NUEVO SANTA ROSA,183,10
821,ROSA AURORA GARCIA,EL ORO,SANTA ROSA,SANTA ROSA,133,11
825,SANTA TERESITA,EL ORO,SANTA ROSA,SANTA ROSA,770,35
826,SANTA ROSA,EL ORO,SANTA ROSA,SANTA ROSA,170,9
827,FRANCO EGIDIO ARIAS,EL ORO,SANTA ROSA,SANTA ROSA,171,13
828,CIUDAD DE GUAYAQUIL,EL ORO,SANTA ROSA,JAMBELI,74,5
831,RIO AMAZONAS,EL ORO,SANTA ROSA,JAMBELI,12,2
832,DR JAIME PALACIOS PERALTA,EL ORO,SANTA ROSA,JAMBELI,41,2
833,ALIDA VALAREZO DE SANCHEZ,EL ORO,SANTA ROSA,PUERTO JELI,121,11
834,JAVIER SOTO,EL ORO,SANTA ROSA,PUERTO JELI,181,10
836,ENRIQUE SUAREZ  PIMENTEL,EL ORO,SANTA ROSA,SANTA ROSA,104,12
837,GUILLERMINA UNDA DE GARCIA,EL ORO,SANTA ROSA,SANTA ROSA,101,10
841,AGOYAN,EL ORO,ZARUMA,ABAÑIN,51,3
842,AMERICA,EL ORO,ZARUMA,ABAÑIN,157,13
845,PROVINCIA DEL AZUAY,EL ORO,ZARUMA,ABAÑIN,30,2
846,10 DE AGOSTO,EL ORO,ZARUMA,GUANAZAN,17,2
847,JUAN LEON MERA,EL ORO,ZARUMA,GUANAZAN,10,2
850,GENERAL ANTONIO JOSE DE SUCRE,EL ORO,ZARUMA,GUANAZAN,42,2
851,NUEVE DE OCTUBRE,EL ORO,ZARUMA,GUANAZAN,237,10
852,DR JOSE ROSAS ZAMBRANO,EL ORO,ZARUMA,GUANAZAN,37,2
853,MANUEL JACINTO CHIRIBOGA,EL ORO,ZARUMA,GUANAZAN,61,4
854,FERNANDO DAQUILEMA,EL ORO,ZARUMA,GUANAZAN,39,3
856,LUIS ALFONSO CRESPO CHIRIBOGA,EL ORO,ZARUMA,ABAÑIN,18,2
857,26 DE NOVIEMBRE,EL ORO,ZARUMA,ABAÑIN,21,2
858,GENERAL ELOY ALFARO,EL ORO,ZARUMA,GUANAZAN,27,3
859,29 DE NOVIEMBRE,EL ORO,ZARUMA,GUANAZAN,117,12
861,GUANAZAN,EL ORO,ZARUMA,GUANAZAN,259,17
871,JUAN JOSÉ FLORES,EL ORO,ZARUMA,SINSAO,18,5
873,PEDRO CARBO,EL ORO,ZARUMA,SINSAO,16,5
874,RED EDUCATIVA RURAL SINSAO,EL ORO,ZARUMA,SINSAO,136,15
875,JOSE LAUTARO BERREZUETA JARA,EL ORO,ZARUMA,SALVIAS,17,4
877,JUAN MONTALVO N 28,EL ORO,ZARUMA,GUIZHAGUIÑA,137,10
879,GUIZHAGUIÑA,EL ORO,ZARUMA,GUIZHAGUIÑA,79,12
881,DR ALFREDO PEREZ GUERRERO,EL ORO,ZARUMA,GUIZHAGUIÑA,27,2
883,AMBROSIO MALDONADO,EL ORO,ZARUMA,GUIZHAGUIÑA,38,6
887,ERNESTO A CASTRO,EL ORO,ZARUMA,SALVIAS,128,17
890,DR REINALDO ESPINOZA,EL ORO,ZARUMA,HUERTAS,20,4
